attention,context_length,batch_size,seed,epoch,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
multi_query_attention,512,16,42,0,7.120321385229576,6.555392542193013,703.0250626655346,116.85733766500016,20360.005178456133,80445.02600822844,8324.595703125
multi_query_attention,512,16,42,1,6.244006863164738,6.22867618068572,507.0837517036712,116.97692951600038,20339.19004237981,80356.69729764207,8324.595703125
multi_query_attention,512,16,42,2,5.864349796190295,6.055508367476925,426.4556465389319,117.33422421399882,20277.255131126032,79913.6064068527,8324.595703125
multi_query_attention,512,16,42,3,5.59312081746629,5.927926478847381,375.3753575613316,117.30946326499907,20281.535127523446,80262.33084435154,8324.595703125
multi_query_attention,512,16,42,4,5.379956489576097,5.842714248165008,344.7137105918273,117.50399248099893,20247.958811992987,79706.71098392375,8324.595703125
multi_query_attention,512,16,42,5,5.198753301220661,5.772778326465238,321.4295293906692,117.6990195039998,20214.407987648072,80202.40502377265,8324.595703125
multi_query_attention,512,16,42,6,5.036595310132528,5.710014481698313,301.87543992018493,117.65211908200035,20222.466187300466,79783.28957468478,8324.595703125
multi_query_attention,512,16,42,7,4.887198790651826,5.673088412131032,290.93166520792533,117.68869138599985,20216.18196260299,80096.24118735072,8324.595703125
multi_query_attention,512,16,42,8,4.750566831569082,5.63240449659286,279.33296594847735,117.7183355420002,20211.091067891713,79626.2535337366,8324.595703125
multi_query_attention,512,16,42,9,4.6241466515662335,5.620032679650091,275.8983993506112,117.65104900000006,20222.650118487247,79905.1546882757,8324.595703125
multi_query_attention,512,16,42,10,4.50710947161278,5.6048483694753335,271.74071812258273,117.9278832609998,20175.177695119673,79281.03052900304,8324.595703125
multi_query_attention,512,16,42,11,4.39989243504108,5.603978218570832,271.5043655370397,117.94621001899941,20172.04282881784,79867.85290463855,8324.595703125
multi_query_attention,512,16,42,12,4.298958596495009,5.608648207879836,272.7752532276991,117.71836148299917,20211.086614075964,79409.7516586795,8324.595703125
multi_query_attention,512,16,42,13,4.203484689247158,5.6158930409339165,274.7586403777476,118.01171903999966,20160.845205496695,79845.60024696679,8324.595703125
multi_query_attention,512,16,42,14,4.115140609315171,5.634848117828369,280.01638458391795,117.87549377199866,20184.14450591411,79350.22187798173,8324.595703125
