attention,context_length,batch_size,seed,epoch,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
sliding_window_attention,512,16,42,0,7.124254488863077,6.551809218622023,700.5104044951635,109.163445448,21794.98815043667,91726.91691128454,8327.611328125
sliding_window_attention,512,16,42,1,6.244228654710698,6.216058023514286,500.7254883708451,109.14632747300004,21798.40636954602,91493.68521742395,8327.611328125
sliding_window_attention,512,16,42,2,5.853900417839129,6.030290757456133,415.8359192003618,109.88229537000007,21652.405348728917,91208.86687889916,8327.611328125
sliding_window_attention,512,16,42,3,5.573473276551237,5.894933208342521,363.19257685456586,109.90891540899997,21647.16111651463,90935.05935120847,8327.611328125
sliding_window_attention,512,16,42,4,5.349647449873567,5.797448573573943,329.45789905843435,110.05812493299993,21617.81332771565,90674.77798306152,8327.611328125
sliding_window_attention,512,16,42,5,5.155824418739765,5.716080573297316,303.71220936370685,110.02768165099997,21623.79470601503,91180.36661516415,8327.611328125
sliding_window_attention,512,16,42,6,4.982240804691904,5.654119383904241,285.46498694486974,109.98943558200006,21631.31383855708,91004.99624038336,8327.611328125
sliding_window_attention,512,16,42,7,4.824376340584247,5.602047981754426,270.9808032769981,110.02203331600003,21624.904833075838,90799.46112980452,8327.611328125
sliding_window_attention,512,16,42,8,4.682036740673366,5.570469687061925,262.55739009309264,110.0484512139999,21619.713623896292,90896.9727081174,8327.611328125
sliding_window_attention,512,16,42,9,4.550530536887572,5.544867761673466,255.9207334760125,110.02309853299994,21624.69546598332,91014.64778097409,8327.611328125
sliding_window_attention,512,16,42,10,4.429945827759418,5.537633111399989,254.07591781613039,110.20325147699987,21589.34485246615,90543.92339357789,8327.611328125
sliding_window_attention,512,16,42,11,4.3176771668634055,5.537926504688878,254.15047292173486,110.31913957000006,21566.665669018676,91253.84308160574,8327.611328125
sliding_window_attention,512,16,42,12,4.212901552108555,5.539744392518075,254.61291017541953,110.30269616499982,21569.8807256803,90773.8944493818,8327.611328125
sliding_window_attention,512,16,42,13,4.115430880248342,5.5572025083726455,259.0969998478367,110.4685837049999,21537.489847372006,90426.47062993594,8327.611328125
sliding_window_attention,512,16,42,14,4.024541114204118,5.568854024333339,262.13352840477324,110.43708670499996,21543.632406343466,90705.2453348108,8327.611328125
