attention,context_length,batch_size,seed,epoch,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
standard_full_attention,1024,8,42,0,7.155311050086186,6.590029128392538,727.8020692944391,131.70474119499977,18004.773241147584,68208.03714102414,8460.51220703125
standard_full_attention,1024,8,42,1,6.313705871845114,6.264919678370158,525.7993512023079,130.04203341099992,18234.980935013715,68604.39314503183,8460.51220703125
standard_full_attention,1024,8,42,2,5.944588439217929,6.092222833633423,442.4037088428983,130.62848047700027,18153.116313846404,68331.36650575305,8460.51220703125
standard_full_attention,1024,8,42,3,5.675504470693654,5.962827316919962,388.70757158505916,130.83182513999964,18124.90193011158,68371.54873638172,8460.51220703125
standard_full_attention,1024,8,42,4,5.458239326805904,5.871300601959229,354.71001693316214,130.93168815800027,18111.077870915746,67998.80774649052,8460.51220703125
standard_full_attention,1024,8,42,5,5.277610911994145,5.81107513109843,333.9780028570521,131.05552102699994,18093.96491973401,67929.21453779444,8460.51220703125
standard_full_attention,1024,8,42,6,5.119322709379525,5.755219904581706,315.83499345030947,131.19177478599977,18075.17280613126,67906.15135295148,8460.51220703125
standard_full_attention,1024,8,42,7,4.973489781083732,5.716036717096965,303.69888999227453,131.38477893900017,18048.620389283926,68140.79163026143,8460.51220703125
standard_full_attention,1024,8,42,8,4.8403843994798335,5.6954571088155115,297.5127582129321,131.24220372400032,18068.227542009467,68070.91095034857,8460.51220703125
standard_full_attention,1024,8,42,9,4.715648172641623,5.681750059127808,293.4625576173122,131.3354308449998,18055.401994291937,68340.11911077888,8460.51220703125
standard_full_attention,1024,8,42,10,4.599598447207747,5.66857434908549,289.6213409972939,131.42705972500062,18042.81405185327,68233.09476154673,8460.51220703125
standard_full_attention,1024,8,42,11,4.490620379612364,5.67534696261088,291.5894916474602,131.3527130850007,18053.026422571726,67897.07558398275,8460.51220703125
standard_full_attention,1024,8,42,12,4.387837028503418,5.681712849934896,293.4516383155439,131.46161366399974,18038.071600587504,68052.54234783555,8460.51220703125
standard_full_attention,1024,8,42,13,4.290660249775853,5.695471207300822,297.5169527217516,131.36629744400034,18051.15959069227,68003.78457828732,8460.51220703125
standard_full_attention,1024,8,42,14,4.2006379481019644,5.713460127512614,302.9173898304829,131.3902079870004,18047.874619656704,68194.54352074282,8460.51220703125
