attention,context_length,batch_size,seed,epoch,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
multi_query_attention,1024,8,42,0,7.1508036695677655,6.587929598490397,726.275630050249,129.27184841300004,18343.622599284594,69761.87377939206,8454.49658203125
multi_query_attention,1024,8,42,1,6.306711029184275,6.265727392832438,526.224218505165,129.1130003979997,18366.190799456766,69484.80501501697,8454.49658203125
multi_query_attention,1024,8,42,2,5.942018893669392,6.086246331532796,439.7675674465668,129.48655774600047,18313.205951860622,69642.43412021904,8454.49658203125
multi_query_attention,1024,8,42,3,5.673424919720354,5.972069311141968,392.31665659815036,129.49355105799987,18312.2169453666,69601.75722041931,8454.49658203125
multi_query_attention,1024,8,42,4,5.463261790111147,5.882766230901082,358.8003949372765,129.59894636799982,18297.324680916678,69546.11910924385,8454.49658203125
multi_query_attention,1024,8,42,5,5.287158897005279,5.817842451731364,336.24580390033174,129.6775916439983,18286.227943760154,69448.59962244885,8454.49658203125
multi_query_attention,1024,8,42,6,5.134971975458079,5.773988326390584,321.818694494628,130.3618952859997,18190.238756483228,69197.18914991267,8454.49658203125
multi_query_attention,1024,8,42,7,4.99561816412827,5.742901643117269,311.96831966454147,129.8941888240006,18255.735852917936,69558.68439196932,8454.49658203125
multi_query_attention,1024,8,42,8,4.869651602054464,5.722562217712403,305.6871574507004,129.9049833680001,18254.218879982807,69104.67076244806,8454.49658203125
multi_query_attention,1024,8,42,9,4.749139052423938,5.705414422353109,300.48998401446846,129.99730460200044,18241.255134173833,68920.48704107871,8454.49658203125
multi_query_attention,1024,8,42,10,4.63711101597753,5.697231801350911,298.04122067461094,130.08315582799878,18229.216418576496,68949.39840979275,8454.49658203125
multi_query_attention,1024,8,42,11,4.532372259271556,5.70555690129598,300.53280055988967,129.88486010700035,18257.04703416926,69046.09369673254,8454.49658203125
multi_query_attention,1024,8,42,12,4.433100426608118,5.707179419199625,301.0208162094341,129.9655452400002,18245.71270501751,69155.0167983428,8454.49658203125
multi_query_attention,1024,8,42,13,4.3408084672072835,5.718635177612304,304.48906574210963,129.90744144199925,18253.87347851615,69041.67232633226,8454.49658203125
multi_query_attention,1024,8,42,14,4.251875181033694,5.7337226390838625,309.1178633884014,129.88305482400028,18257.300794266655,69232.24345838379,8454.49658203125
