attention,context_length,batch_size,seed,epoch,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
linear_causal_attention_parallel,2048,4,42,0,7.197681720058124,6.617626921335856,748.1675283920468,157.74989992400003,14922.67190745682,57528.281439850616,9511.49658203125
linear_causal_attention_parallel,2048,4,42,1,6.364812940359116,6.3064801851908365,548.1122957412731,160.53214633799996,14664.041151256737,57759.99075439823,9511.49658203125
linear_causal_attention_parallel,2048,4,42,2,6.008036075366868,6.126704692840576,457.9246691924873,161.01716599200006,14619.869785293315,57936.804484934895,9511.49658203125
linear_causal_attention_parallel,2048,4,42,3,5.749150415261586,6.033071629206339,416.9939149333418,162.52226880699993,14484.476602990972,57791.38718385525,9511.49658203125
linear_causal_attention_parallel,2048,4,42,4,5.540472726027171,5.935384464263916,378.1853669836531,161.79989495300015,14549.14418012328,57871.87377102254,9511.49658203125
linear_causal_attention_parallel,2048,4,42,5,5.368014456497298,5.873361698786417,355.4418625669112,160.86147845100004,14634.019422599466,57920.99641773166,9511.49658203125
linear_causal_attention_parallel,2048,4,42,6,5.2194738073481455,5.830863300959269,340.6526379151056,161.17364375399984,14605.67587336425,57466.506817646754,9511.49658203125
linear_causal_attention_parallel,2048,4,42,7,5.08659506837527,5.804676675796509,331.8478815442502,160.98255600700008,14623.012942455936,57749.53980527087,9511.49658203125
linear_causal_attention_parallel,2048,4,42,8,4.964484865466754,5.786954323450725,326.0185636479109,160.7472252900002,14644.420740408521,57715.996310777,9511.49658203125
linear_causal_attention_parallel,2048,4,42,9,4.850784363018142,5.773174826304118,321.55700141693274,160.93154617000005,14627.647941151943,57728.422167634635,9511.49658203125
linear_causal_attention_parallel,2048,4,42,10,4.743305820557806,5.76884970664978,320.1692322074329,161.0314165220002,14618.575994941884,57623.13491885808,9511.49658203125
linear_causal_attention_parallel,2048,4,42,11,4.63927555249797,5.770289961496989,320.63068972449156,161.02572831499992,14619.09239370113,57749.494942262674,9511.49658203125
linear_causal_attention_parallel,2048,4,42,12,4.541003896130456,5.768424812952677,320.0332232153897,160.9741509669998,14623.776462610993,57637.766340360846,9511.49658203125
linear_causal_attention_parallel,2048,4,42,13,4.448778972029686,5.7791544119517,323.4855392296911,161.06798734800032,14615.256816451589,57811.99303521635,9511.49658203125
linear_causal_attention_parallel,2048,4,42,14,4.364379767742422,5.801981496810913,330.9546962952282,161.41152610500012,14584.150567219483,57706.13989266981,9511.49658203125
