attention,context_length,batch_size,seed,epoch,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
multi_query_attention,2048,4,42,0,7.18157365752591,6.615968068440755,746.9274573536374,161.71073381199994,14557.16602422167,52793.240473100406,9673.10595703125
multi_query_attention,2048,4,42,1,6.3722479161289005,6.313805468877157,552.1421155663286,157.8600264129999,14912.261536313426,53253.71403831092,9673.10595703125
multi_query_attention,2048,4,42,2,6.033317254649268,6.145641692479452,466.6790174173994,158.206063536,14879.64460644287,53039.13316917197,9673.10595703125
multi_query_attention,2048,4,42,3,5.7780373030238685,6.040032291412354,419.9065940447298,158.52949299099987,14849.287382339926,53096.18375696929,9673.10595703125
multi_query_attention,2048,4,42,4,5.568810878528489,5.946763626734415,382.51337758537187,158.337947386,14867.250958238337,53123.02432946784,9673.10595703125
multi_query_attention,2048,4,42,5,5.39545400109556,5.894612630208333,363.0761639166451,158.13687369900003,14886.154917168353,53126.31016755588,9673.10595703125
multi_query_attention,2048,4,42,6,5.245670912994279,5.843558438618978,345.0048374816429,158.36325373600016,14864.875180730529,52898.00889363104,9673.10595703125
multi_query_attention,2048,4,42,7,5.112733862466282,5.817461729049683,336.11781186244866,158.7790948239999,14825.944200081047,52563.2077554001,9673.10595703125
multi_query_attention,2048,4,42,8,4.991527756055196,5.79513840675354,328.6976748118266,158.33221071899993,14867.789626065727,52936.13599741753,9673.10595703125
multi_query_attention,2048,4,42,9,4.881227960189183,5.774381669362386,321.94530451525037,158.41087999799993,14860.406053105202,52856.51341813455,9673.10595703125
multi_query_attention,2048,4,42,10,4.771902090973324,5.7741403420766195,321.86761970285596,158.80425022300005,14823.595695293654,52139.555905378016,9673.10595703125
multi_query_attention,2048,4,42,11,4.670610164602597,5.762241427103678,318.0604398378156,158.6808746910001,14835.121148557133,52435.09501353527,9673.10595703125
multi_query_attention,2048,4,42,12,4.574374535017544,5.77627952893575,322.5568916632146,159.05088325099996,14800.609414315843,52016.0324422249,9673.10595703125
multi_query_attention,2048,4,42,13,4.482944604423311,5.783953475952148,325.0416981020266,159.16987644200026,14789.544684089704,52655.1406918346,9673.10595703125
multi_query_attention,2048,4,42,14,4.395199500024319,5.799681075414022,330.1942360553319,158.88529009900003,14816.03487983823,53658.73859643963,9673.10595703125
