attention,context_length,batch_size,seed,epoch,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
standard_full_attention,512,16,42,0,7.1257302982291,6.554663273595994,702.5125554648334,114.40079668500016,20797.197825038875,77881.45545303676,8330.611328125
standard_full_attention,512,16,42,1,6.248387105686149,6.221090378299836,503.25166766251556,118.2764088240001,20115.727418984847,78920.06024623709,8330.611328125
standard_full_attention,512,16,42,2,5.860292539563785,6.038124915092222,419.10643749299777,118.90465594400007,20009.443542063884,78383.39315160942,8330.611328125
standard_full_attention,512,16,42,3,5.581866534714846,5.905982232862903,367.22775186425173,118.94455575999996,20002.731396976727,78038.13816310413,8330.611328125
standard_full_attention,512,16,42,4,5.359648204751031,5.811657351832236,334.17250839203376,118.98924296099995,19995.219238261852,78295.42251914305,8330.611328125
standard_full_attention,512,16,42,5,5.1714256030997054,5.740828114171182,311.322114517525,119.09660738999992,19977.193743301992,78029.92918992566,8330.611328125
standard_full_attention,512,16,42,6,5.0041687103481225,5.680250629301994,293.0228608352763,119.19236907100003,19961.143641525894,78786.14357856261,8330.611328125
standard_full_attention,512,16,42,7,4.84916479071391,5.632320634780392,279.30954156189017,119.25222621700004,19951.12439805195,78277.33834595644,8330.611328125
standard_full_attention,512,16,42,8,4.707617354966521,5.60328120570029,271.3151894365992,119.29741965599987,19943.5663140124,78392.9152655428,8330.611328125
standard_full_attention,512,16,42,9,4.576213317228756,5.576005858759726,264.0149839071466,119.1812293969997,19963.00937687672,78339.98778471105,8330.611328125
standard_full_attention,512,16,42,10,4.455722803922043,5.564196309735698,260.9154242359351,119.38919246800015,19928.235971926024,77947.69600555337,8330.611328125
standard_full_attention,512,16,42,11,4.34276800712769,5.567784893897272,261.85342323240565,119.44180841299976,19919.457278922542,78370.62139878627,8330.611328125
standard_full_attention,512,16,42,12,4.238254011291819,5.56730790292063,261.72855129608195,119.39355393200003,19927.50799054922,78518.88553353875,8330.611328125
standard_full_attention,512,16,42,13,4.141037021715617,5.583844615567115,266.09266574203707,119.6092764519999,19891.56753201159,78555.6084227518,8330.611328125
standard_full_attention,512,16,42,14,4.04965541207094,5.5943084070759435,268.8916222286328,119.50728833700032,19908.54309480117,77387.90397180364,8330.611328125
