design_name,seed,epoch,context_length,batch_size,conv_kernel_size,conv_replacement_layers,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
alternating_conv_attention,42,0,1024,8,5,"[1, 3]",7.095953321456909,6.476762533187866,649.8636250020821,108.99177655099993,21756.815743712592,89460.13265401621,7937.9658203125
alternating_conv_attention,42,1,1024,8,5,"[1, 3]",6.162435326082953,6.090923039118449,441.82904847983974,109.43560861800006,21668.577805213252,90140.94951409142,7937.9658203125
alternating_conv_attention,42,2,1024,8,5,"[1, 3]",5.753149963247365,5.866932757695516,353.16407748957806,109.45431076700015,21664.87535651211,90175.03438699612,7937.9658203125
alternating_conv_attention,42,3,1024,8,5,"[1, 3]",5.4472415973400246,5.716747713088989,303.91489546625496,109.54042020799989,21647.844654030454,89666.63658059553,7937.9658203125
alternating_conv_attention,42,4,1024,8,5,"[1, 3]",5.200194663014905,5.591965897878011,268.26247830572277,109.54177652099997,21647.57661699417,89862.49032103391,7937.9658203125
alternating_conv_attention,42,5,1024,8,5,"[1, 3]",4.994080569826323,5.505420207977295,246.02181429019788,109.4960655599998,21656.613759337382,89980.1636466645,7937.9658203125
alternating_conv_attention,42,6,1024,8,5,"[1, 3]",4.8160121260018185,5.436649545033773,229.6713892792834,109.61607511000011,21632.90372895014,89374.92512211576,7937.9658203125
alternating_conv_attention,42,7,1024,8,5,"[1, 3]",4.655878433687934,5.392183510462443,219.68254137021023,109.82591296700002,21591.57102306558,90016.79221392944,7937.9658203125
alternating_conv_attention,42,8,1024,8,5,"[1, 3]",4.512957198044349,5.363149770100912,213.39603746196727,109.47773261500015,21660.240337084706,89899.52987335564,7937.9658203125
alternating_conv_attention,42,9,1024,8,5,"[1, 3]",4.381489092728187,5.337228075663249,207.93552915370924,109.59461982999983,21637.138790921646,89742.34201835828,7937.9658203125
alternating_conv_attention,42,10,1024,8,5,"[1, 3]",4.2589986686048835,5.324618196487426,205.32994980093164,109.72034279800027,21612.3458925542,89728.55661965201,7937.9658203125
alternating_conv_attention,42,11,1024,8,5,"[1, 3]",4.145414845696811,5.325652122497559,205.5423555636895,109.81405161400016,21593.903194968556,89459.23534104649,7937.9658203125
alternating_conv_attention,42,12,1024,8,5,"[1, 3]",4.040313774141772,5.331182320912679,206.68219443524654,109.74436377099937,21607.615357342245,89844.15580310104,7937.9658203125
alternating_conv_attention,42,13,1024,8,5,"[1, 3]",3.941330233113519,5.346297756830851,209.8300163172727,109.80148599700078,21596.374388455657,89973.79206330136,7937.9658203125
alternating_conv_attention,42,14,1024,8,5,"[1, 3]",3.8494319430712998,5.358016363779703,212.30339578062345,109.90068502899976,21576.88097553055,89339.93423633698,7937.9658203125
