design_name,seed,epoch,context_length,batch_size,conv_kernel_size,conv_replacement_layers,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
plain_best_attn_pe,42,0,1024,8,5,"[1, 3]",7.094729885561713,6.475629313786825,649.1276040495757,126.26188414299997,18780.91726648344,69237.49222273153,8452.51220703125
plain_best_attn_pe,42,1,1024,8,5,"[1, 3]",6.163800616099917,6.086123593648275,439.71359461798073,129.79121954099998,18270.21895923338,68131.70134322092,8452.51220703125
plain_best_attn_pe,42,2,1024,8,5,"[1, 3]",5.7473635541981665,5.8659234046936035,352.8077901079139,130.59795142099995,18157.359852879716,67920.05159744846,8452.51220703125
plain_best_attn_pe,42,3,1024,8,5,"[1, 3]",5.436695532963194,5.7067768732706705,300.899665891258,130.5571150699999,18163.039208767666,68274.5496461668,8452.51220703125
plain_best_attn_pe,42,4,1024,8,5,"[1, 3]",5.186859846115112,5.585988219579061,266.6636748379149,130.41179701800002,18183.278309344212,68108.60203928169,8452.51220703125
plain_best_attn_pe,42,5,1024,8,5,"[1, 3]",4.9765520079382535,5.495859956741333,243.680991193439,130.6592464150001,18148.841854392984,67597.27434883987,8452.51220703125
plain_best_attn_pe,42,6,1024,8,5,"[1, 3]",4.7957636685206975,5.423213879267375,226.60623853648323,130.6202099740001,18154.26571793147,67959.43373313198,8452.51220703125
plain_best_attn_pe,42,7,1024,8,5,"[1, 3]",4.631845311460824,5.377642822265625,216.51131779501225,130.69854912100004,18143.384268211346,67694.10219370028,8452.51220703125
plain_best_attn_pe,42,8,1024,8,5,"[1, 3]",4.48562861146598,5.3435933272043865,209.2633124553826,130.67531854499998,18146.609676588643,67821.82408548254,8452.51220703125
plain_best_attn_pe,42,9,1024,8,5,"[1, 3]",4.349756552433146,5.320636129379272,204.5139379467743,130.6041953670001,18156.49178295204,67355.4311478405,8452.51220703125
plain_best_attn_pe,42,10,1024,8,5,"[1, 3]",4.2234370659137594,5.30668888092041,201.68133069724752,130.83365460200002,18124.64848752876,67612.6560928596,8452.51220703125
plain_best_attn_pe,42,11,1024,8,5,"[1, 3]",4.107819567055538,5.312217283248901,202.79939393956946,130.71831431400005,18140.64090746946,67850.9555381025,8452.51220703125
plain_best_attn_pe,42,12,1024,8,5,"[1, 3]",3.996830334334538,5.313725805282592,203.10555215889755,134.11429039300015,17681.292523348926,67825.59790565146,8452.51220703125
plain_best_attn_pe,42,13,1024,8,5,"[1, 3]",3.895021572606317,5.324980163574219,205.40428593749817,130.82570219599984,18125.750217242145,67730.23905310636,8452.51220703125
plain_best_attn_pe,42,14,1024,8,5,"[1, 3]",3.8004249901607117,5.345650641123454,209.69427594243157,130.74093228799984,18137.50260535394,67441.07674997098,8452.51220703125
