design_name,seed,epoch,context_length,batch_size,conv_kernel_size,conv_replacement_layers,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,peak_gpu_memory_mb
conv_before_attention,42,0,1024,8,5,"[1, 3]",7.0820988934615565,6.43969775835673,626.2175021992102,128.801111041,18410.664169233467,72058.74405091826,8593.02783203125
conv_before_attention,42,1,1024,8,5,"[1, 3]",6.137119095900963,6.069057003657023,432.27285759255767,126.62678124699994,18726.796785385253,71763.0960946663,8593.02783203125
conv_before_attention,42,2,1024,8,5,"[1, 3]",5.723151202037417,5.841880941390992,344.42657797308846,127.4568607110001,18604.836073726903,72000.82002535279,8593.02783203125
conv_before_attention,42,3,1024,8,5,"[1, 3]",5.4103593513883395,5.674340120951334,291.2960549467199,127.37989940600005,18616.076877576044,71759.42279993295,8593.02783203125
conv_before_attention,42,4,1024,8,5,"[1, 3]",5.156515767656524,5.552578639984131,257.90173492410844,127.467777995,18603.242617856067,71798.29357613111,8593.02783203125
conv_before_attention,42,5,1024,8,5,"[1, 3]",4.9410006194279115,5.4675057888031,236.86865490640173,127.55796602199985,18590.089462472464,71505.12863944976,8593.02783203125
conv_before_attention,42,6,1024,8,5,"[1, 3]",4.753858378837848,5.398978646596273,221.18039744955,127.39067792700007,18614.501771933872,71509.26002144314,8593.02783203125
conv_before_attention,42,7,1024,8,5,"[1, 3]",4.584269860695148,5.346185954411824,209.80655812522974,127.46857928500003,18603.125674587685,71720.91906594882,8593.02783203125
conv_before_attention,42,8,1024,8,5,"[1, 3]",4.429962586534434,5.3164260228474935,203.6547224443167,127.51355138000008,18596.564634399554,71821.30407506193,8593.02783203125
conv_before_attention,42,9,1024,8,5,"[1, 3]",4.28838990638996,5.295209471384684,199.37938586870118,127.41749850700012,18610.5835366853,71834.79148088397,8593.02783203125
conv_before_attention,42,10,1024,8,5,"[1, 3]",4.155702357456602,5.289630174636841,198.2700865421714,127.53313992700032,18593.708281293275,71645.4575173603,8593.02783203125
conv_before_attention,42,11,1024,8,5,"[1, 3]",4.03379662119109,5.289791774749756,198.30212959955543,127.42147367799998,18610.002941830833,71488.34929710603,8593.02783203125
conv_before_attention,42,12,1024,8,5,"[1, 3]",3.919657325744629,5.291377353668213,198.6168026793087,127.47356126300019,18602.39861901689,71518.54584127238,8593.02783203125
conv_before_attention,42,13,1024,8,5,"[1, 3]",3.8127215229231735,5.3133746465047205,203.03424238268215,128.2985550049998,18482.780261302163,71616.19357919159,8593.02783203125
conv_before_attention,42,14,1024,8,5,"[1, 3]",3.7120849995777525,5.332618236541748,206.97918580473163,127.55197476500007,18590.962659487435,71756.76785690358,8593.02783203125
