quant_type,bits,ppl,ppl_delta_pct,mse,cka,sds_32,sds_64,sds_128
none,—,47.03206473505236,27.61277128380788,0.0,1.0,0.0,0.0,0.0
per_tensor,8,46.82495573913612,27.050819494628197,0.0018269160063937306,0.9949464201927185,0.005171514116227627,0.004108993802219629,0.003408056451007724
per_tensor,4,52.18717116649438,41.60019500601171,0.07343291491270065,0.9775012731552124,0.019424449652433395,0.02466125600039959,0.034054193645715714
per_tensor,2,336.0171103437708,811.7200125340813,0.43150877952575684,0.7401405572891235,0.3619537055492401,0.39304137229919434,0.42726099491119385
per_feature,8,48.75702039792029,32.293118058297196,0.028601260855793953,0.9777921438217163,0.03275321424007416,0.03330148383975029,0.034744858741760254
per_feature,4,49.80836523160992,35.14574697343933,0.04001006484031677,0.9716914892196655,0.042896516621112823,0.04401342198252678,0.046388912945985794
per_feature,2,80.11891155339137,117.38778412487196,0.19840987026691437,0.9020880460739136,0.13959525525569916,0.1508394032716751,0.16990041732788086
vq_256,~8b/vec,572.5580230743499,1453.5298409053541,0.3344488739967346,0.8066979646682739,0.2280215322971344,0.28187257051467896,0.3443480432033539
vq_1024,~10b/vec,412.5059904621078,1019.2583806512953,0.27561628818511963,0.8429756164550781,0.18784528970718384,0.23019294440746307,0.2776324450969696
