position_name,position_mode,seed,epoch,train_context_length,eval_context_length,train_batch_size,eval_batch_size,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,train_peak_gpu_memory_mb,eval_peak_gpu_memory_mb
alibi,alibi,42,0,512,512,16,16,7.065024741326821,6.441754079634143,627.5065314481899,113.61736176699992,20940.60241320479,74177.53688803827,8123.51708984375,8588.611328125
alibi,alibi,42,0,512,1024,16,8,7.065024741326821,6.440502452850342,626.7216187777478,113.61736176699992,20940.60241320479,61546.60541376942,8123.51708984375,8590.6064453125
alibi,alibi,42,0,512,2048,16,4,7.065024741326821,6.442942301432292,628.2525915419919,113.61736176699992,20940.60241320479,47778.41109672489,8123.51708984375,8592.611328125
alibi,alibi,42,1,512,512,16,16,6.110235004490593,6.056894256222632,427.04707635331266,122.84717666400002,19367.28270530308,75491.1040159222,8123.51708984375,8588.611328125
alibi,alibi,42,1,512,1024,16,8,6.110235004490593,6.054995902379354,426.23715889284676,122.84717666400002,19367.28270530308,64300.57873181947,8123.51708984375,8590.6064453125
alibi,alibi,42,1,512,2048,16,4,6.110235004490593,6.057214625676473,427.1839111095962,122.84717666400002,19367.28270530308,50499.679798773905,8123.51708984375,8592.611328125
alibi,alibi,42,2,512,512,16,16,5.684957879515448,5.83209034704393,341.07089095608853,122.42665667300002,19433.806857560885,75065.51441963304,8123.51708984375,8588.611328125
alibi,alibi,42,2,512,1024,16,8,5.684957879515448,5.827994791666667,339.6768728223922,122.42665667300002,19433.806857560885,63998.85264556871,8123.51708984375,8590.6064453125
alibi,alibi,42,2,512,2048,16,4,5.684957879515448,5.828941535949707,339.99861223826224,122.42665667300002,19433.806857560885,50285.305330366165,8123.51708984375,8592.611328125
alibi,alibi,42,3,512,512,16,16,5.375512028068202,5.673341612662038,291.00533858671815,122.36530465700002,19443.550658980806,74289.21942738401,8123.51708984375,8588.611328125
alibi,alibi,42,3,512,1024,16,8,5.375512028068202,5.666649611790975,289.0644321245551,122.36530465700002,19443.550658980806,63083.63851612658,8123.51708984375,8590.6064453125
alibi,alibi,42,3,512,2048,16,4,5.375512028068202,5.666096989313761,288.90473275279555,122.36530465700002,19443.550658980806,49393.4846675086,8123.51708984375,8592.611328125
alibi,alibi,42,4,512,512,16,16,5.126293061115487,5.557212583480343,259.0996102911645,122.81876399400016,19371.76309734095,75095.97722175543,8123.51708984375,8588.611328125
alibi,alibi,42,4,512,1024,16,8,5.126293061115487,5.548422972361247,256.83220487928173,122.81876399400016,19371.76309734095,64654.910525791856,8123.51708984375,8590.6064453125
alibi,alibi,42,4,512,2048,16,4,5.126293061115487,5.547090832392374,256.49029621952656,122.81876399400016,19371.76309734095,50537.00736924218,8123.51708984375,8592.611328125
alibi,alibi,42,5,512,512,16,16,4.9188177724884135,5.469565852995841,237.3571225053129,123.066372495,19332.78727376696,75483.79465139314,8123.51708984375,8588.611328125
alibi,alibi,42,5,512,1024,16,8,4.9188177724884135,5.458531395594279,234.7524126569096,123.066372495,19332.78727376696,64277.74582196845,8123.51708984375,8590.6064453125
alibi,alibi,42,5,512,2048,16,4,4.9188177724884135,5.455820083618164,234.11678770720476,123.066372495,19332.78727376696,50638.75966022659,8123.51708984375,8592.611328125
alibi,alibi,42,6,512,512,16,16,4.739920986477042,5.4084826284839265,223.29251279564897,123.31473687000016,19293.849708394522,75067.82063055933,8123.51708984375,8588.611328125
alibi,alibi,42,6,512,1024,16,8,4.739920986477042,5.394195906321207,220.12507473351494,123.31473687000016,19293.849708394522,64219.53213763246,8123.51708984375,8590.6064453125
alibi,alibi,42,6,512,2048,16,4,4.739920986477042,5.390732367833455,219.36398186312607,123.31473687000016,19293.849708394522,50665.93771296361,8123.51708984375,8592.611328125
alibi,alibi,42,7,512,512,16,16,4.5798021001914115,5.368318926903509,214.50197094990637,123.29377304900027,19297.13026994831,75165.4397338436,8123.51708984375,8588.611328125
alibi,alibi,42,7,512,1024,16,8,4.5798021001914115,5.352349011103312,211.1036006048781,123.29377304900027,19297.13026994831,64165.99205757805,8123.51708984375,8590.6064453125
alibi,alibi,42,7,512,2048,16,4,4.5798021001914115,5.3478735764821375,210.16093124305914,123.29377304900027,19297.13026994831,50685.30543785782,8123.51708984375,8592.611328125
alibi,alibi,42,8,512,512,16,16,4.431570595482371,5.339266054091915,208.3597293853174,123.32706263299997,19291.92140965958,75142.26379952741,8123.51708984375,8588.611328125
alibi,alibi,42,8,512,1024,16,8,4.431570595482371,5.321539354324341,204.69874348506426,123.32706263299997,19291.92140965958,64389.90398359109,8123.51708984375,8590.6064453125
alibi,alibi,42,8,512,2048,16,4,4.431570595482371,5.316511535644532,203.67213827389045,123.32706263299997,19291.92140965958,50435.96548113091,8123.51708984375,8592.611328125
alibi,alibi,42,9,512,512,16,16,4.297093102202792,5.326797270005749,205.77786670175067,123.77051829799984,19222.800653315586,75199.17792464812,8123.51708984375,8588.611328125
alibi,alibi,42,9,512,1024,16,8,4.297093102202792,5.308503198623657,202.0475768489185,123.77051829799984,19222.800653315586,64041.15046675882,8123.51708984375,8590.6064453125
alibi,alibi,42,9,512,2048,16,4,4.297093102202792,5.302804962793986,200.89953611703078,123.77051829799984,19222.800653315586,50235.81357473203,8123.51708984375,8592.611328125
alibi,alibi,42,10,512,512,16,16,4.172793688233366,5.327135070677726,205.8473903453061,124.26827145200014,19145.804252366994,75142.55587158032,8123.51708984375,8588.611328125
alibi,alibi,42,10,512,1024,16,8,4.172793688233366,5.308128738403321,201.971932232607,124.26827145200014,19145.804252366994,64221.651799315376,8123.51708984375,8590.6064453125
alibi,alibi,42,10,512,2048,16,4,4.172793688233366,5.302372042338053,200.81258142184956,124.26827145200014,19145.804252366994,50360.94098909197,8123.51708984375,8592.611328125
alibi,alibi,42,11,512,512,16,16,4.058122589006457,5.326256644341253,205.66664797238505,124.06645337300006,19176.948605494486,74672.08381520706,8123.51708984375,8588.611328125
alibi,alibi,42,11,512,1024,16,8,4.058122589006457,5.30524533589681,201.39040464891107,124.06645337300006,19176.948605494486,63121.03252102559,8123.51708984375,8590.6064453125
alibi,alibi,42,11,512,2048,16,4,4.058122589006457,5.298327859242757,200.00209854995384,124.06645337300006,19176.948605494486,49266.58406850256,8123.51708984375,8592.611328125
