position_name,position_mode,seed,epoch,train_context_length,eval_context_length,train_batch_size,eval_batch_size,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,train_peak_gpu_memory_mb,eval_peak_gpu_memory_mb
relative_position_bias,relative_bias,42,0,512,512,16,16,7.121056348597471,6.552160293825211,700.7563795030934,124.57984819100011,19097.920205780756,72993.52646502612,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,0,512,1024,16,8,7.121056348597471,6.556976954142253,704.1398268650914,124.57984819100011,19097.920205780756,59252.585435329675,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,0,512,2048,16,4,7.121056348597471,6.56470136642456,709.5999541805552,124.57984819100011,19097.920205780756,41740.88629905302,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,1,512,512,16,16,6.236302146387264,6.204667152897004,495.0541511742687,124.41598261699983,19123.073659468177,72604.75127485799,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,1,512,1024,16,8,6.236302146387264,6.215191094080607,500.29158281670715,124.41598261699983,19123.073659468177,58809.58582552012,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,1,512,2048,16,4,6.236302146387264,6.229017766316732,507.256993813796,124.41598261699983,19123.073659468177,41730.707068878786,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,2,512,512,16,16,5.83773062073488,6.011550964847688,408.1158029320641,124.68278898800054,19082.1525513756,72557.42516095993,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,2,512,1024,16,8,5.83773062073488,6.025342432657878,413.7833106845193,124.68278898800054,19082.1525513756,58425.444630020946,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,2,512,2048,16,4,5.83773062073488,6.047393163045247,423.00887632469403,124.68278898800054,19082.1525513756,41677.90334382983,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,3,512,512,16,16,5.546407643872028,5.855954293281801,349.3080834086575,124.72420398600025,19075.816272734493,72715.32182469036,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,3,512,1024,16,8,5.546407643872028,5.876627206802368,356.6044580175944,124.72420398600025,19075.816272734493,58935.716881930624,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,3,512,2048,16,4,5.546407643872028,5.913903554280599,370.1482326828796,124.72420398600025,19075.816272734493,41759.506655550125,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,4,512,512,16,16,5.305343993340981,5.730620061197588,308.160287386399,124.8549949469998,19055.83353721622,73179.51498343032,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,4,512,1024,16,8,5.305343993340981,5.750617122650146,314.3846142991728,124.8549949469998,19055.83353721622,59273.01922655024,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,4,512,2048,16,4,5.305343993340981,5.802541240056356,331.13999780682366,124.8549949469998,19055.83353721622,41783.39753525729,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,5,512,512,16,16,5.0963502110484535,5.628738587902438,278.31083147161166,125.08669876299973,19020.535544773407,72541.61667918433,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,5,512,1024,16,8,5.0963502110484535,5.6543910026550295,285.5425351193098,125.08669876299973,19020.535544773407,58084.75574972538,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,5,512,2048,16,4,5.0963502110484535,5.726149463653565,306.78570166162586,125.08669876299973,19020.535544773407,41656.68272250892,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,6,512,512,16,16,4.912056008565057,5.552960011266893,258.0001099971045,125.79749767399971,18913.06300993096,73335.2773865764,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,6,512,1024,16,8,4.912056008565057,5.583675861358643,266.0477652735276,125.79749767399971,18913.06300993096,58956.64133164227,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,6,512,2048,16,4,4.912056008565057,5.670205450057983,290.09412812520094,125.79749767399971,18913.06300993096,41530.14615465082,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,7,512,512,16,16,4.747120516406712,5.50900508511451,246.90535501374924,125.77289708100034,18916.762316985794,71590.13358988639,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,7,512,1024,16,8,4.747120516406712,5.543707180023193,255.62388885834366,125.77289708100034,18916.762316985794,57807.15981762814,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,7,512,2048,16,4,4.747120516406712,5.643777052561442,282.5278281784652,125.77289708100034,18916.762316985794,41864.9275741393,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,8,512,512,16,16,4.597247992184563,5.464089039833315,236.06071522331794,125.25001962099941,18995.733551175435,72642.55801958982,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,8,512,1024,16,8,4.597247992184563,5.493899726867676,243.2037883013462,125.25001962099941,18995.733551175435,58591.67244433536,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,8,512,2048,16,4,4.597247992184563,5.59741784731547,269.7290259125066,125.25001962099941,18995.733551175435,41541.01634333946,7875.64208984375,8336.736328125
relative_position_bias,relative_bias,42,9,512,512,16,16,4.459619818684161,5.4439203200801725,231.34736371864997,126.00690215299983,18881.63234987805,71672.57950938407,7875.64208984375,8332.736328125
relative_position_bias,relative_bias,42,9,512,1024,16,8,4.459619818684161,5.472571118672689,238.07151665316147,126.00690215299983,18881.63234987805,57871.77783870055,7875.64208984375,8334.7314453125
relative_position_bias,relative_bias,42,9,512,2048,16,4,4.459619818684161,5.579875389734904,265.0385772010536,126.00690215299983,18881.63234987805,41460.380659524046,7875.64208984375,8336.736328125
